[0917/113408.595:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x31d400a5da00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/113408.684:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x31d400a5da00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/113408.696:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x31d400a5da00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/113408.715:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x31d400a5da00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/113504.988:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x3a3c00405800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/113505.065:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x3a3c00405800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/113505.079:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x3a3c00405800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/113505.095:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x3a3c00405800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/113601.373:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x74b4001f5600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/113601.453:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x74b4001f5600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/113601.463:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x74b4001f5600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/113601.476:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x74b4001f5600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/114442.626:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x9dc00a52400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/114442.716:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x9dc00a52400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/114442.730:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x9dc00a52400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/114442.741:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x9dc00a52400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/120934.219:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x738c00c5b200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/120934.292:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x738c00c5b200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/120934.304:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x738c00c5b200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/120934.314:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x738c00c5b200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/121032.074:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x2ccc001ed800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/121032.133:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x2ccc001ed800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/121032.144:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x2ccc001ed800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/121032.161:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x2ccc001ed800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0917/123635.597:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x6640040a000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0917/123635.677:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x6640040a000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
